"","donor 1_unstim","donor 1_LPS","donor 2_unstim","donor 2_LPS","donor 3_unstim","donor 3_LPS","donor 4_unstim","donor 4_LPS"
"ENSG00000124614",5542.2422,2311.8459,4728.9878,1917.1392,5163.0405,2600.979,5435.7207,3006.4597
"ENSG00000124507",0,0,0,1,1,0,0,1
"ENSG00000124664",1,7,0,0,0,0,0,0
"ENSG00000196114",0,8,1,3,2,8,1,1
"ENSG00000196821",5688.96,4501.0918,4385.8545,4799.6045,5117.5718,5246.1836,4577.9185,6953.8345
"ENSG00000216636",10,7,2,8,0,2,2,1
"ENSG00000265123",8,6,3,11,2,1,1,2
"ENSG00000220643",1,1,0,1,0,0,0,0
"ENSG00000272288",76.0398,34.9079,27.1455,19.3954,23.428,14.8164,22.0817,35.1659
"ENSG00000186328",0,0,0,0,0,0,0,0
"ENSG00000217130",0,3,2,1,2,0,0,4
"ENSG00000124562",910,519,667,394,895.0001,487,958,613
"ENSG00000065060",3083.2397,4927,3381,5222,3332,4140,2558.2468,3459
"ENSG00000206717",0,0,0,0,0,0,0,0
"ENSG00000252106",0,0,0,0,0,0,0,0
"ENSG00000064995",589.7604,376,442,361,550,445,630.7532,636
"ENSG00000064999",1821,1111,1325,958,2013,1718,1619,1563
"ENSG00000187762",8,10,4,1,5,3,3,0
"ENSG00000273870",0,0,0,0,0,0,0,0
"ENSG00000124678",0,2,0,0,0,0,0,1
"ENSG00000146197",120,86,99,96,80,68,60,41
"ENSG00000272374",78,50,26,40,32,28,16,10
"ENSG00000065029",812,580,557,444,836,649,735,636
"ENSG00000217004",0,0,1,0,0,0,0,0
"ENSG00000023892",1493,153,1693,279,1973,2512,1338,1107
"ENSG00000112033",4131.6665,608,2955,947,6242,4703,3955,4157
"ENSG00000227154",0,0,0,0,0,0,0,0
"ENSG00000112039",879,41,631,52,1043,113,648,93
"ENSG00000198755",5384.9995,1732.0001,5465.0005,1724.0001,5832,2427,5905.9995,2270
"ENSG00000276712",0,0,0,0,0,0,0,0
"ENSG00000007866",15,6,40,7,19,18,3,19
"ENSG00000112041",0,0,1,0,0,0,0,0
"ENSG00000228559",0,0,0,0,0,0,0,0
"ENSG00000219023",0,0,0,0,0,0,0,0
"ENSG00000096060",1093.171,1990.2229,993.0328,1474,1185,3696.0002,1019,2656
"ENSG00000218749",1,0,0,0,0,0,0,0
"ENSG00000212579",0,0,0,0,0,0,0,0
"ENSG00000265527",0,0,0,0,0,0,0,0
"ENSG00000232909",0,0,0,0,0,0,0,0
"ENSG00000157343",1,1,0,0,0,0,0,0
"ENSG00000220734",0,0,0,0,0,0,0,0
"ENSG00000196748",0,0,0,0,0,0,0,0
"ENSG00000204140",0,0,0,0,0,0,0,0
"ENSG00000137392",0,0,0,0,0,0,0,0
"ENSG00000197753",53.0209,75.488,35.3069,56.6286,34.5762,49.4826,22.8918,19.6097
"ENSG00000096063",628.9791,547.512,741.6931,654.3713,848.4239,957.5174,703.1081,937.3903
"ENSG00000112053",8,26,4,34,2,12,2,3
"ENSG00000271304",0,1,2,0,0,0,0,0
"ENSG00000112062",3672,2010,2775,2224,3441,5390,3213,4834
"ENSG00000237719",59,34,23,19,14,28,3,10
"ENSG00000156711",5866.6738,607.6616,5227.7671,1175.9017,7116,2379,6261.9995,2239
"ENSG00000246982",3,1,0,1,0,2,4,0
"ENSG00000096070",986,1096,869,1256,1218.9999,1544.9999,1105.0001,1892.0001
"ENSG00000180316",3,117,7,94,12,72,4,168
"ENSG00000189325",0,0,0,0,0,0,0,0
"ENSG00000010030",7,1939,10,1755.9998,7,163,3,305
"ENSG00000224666",0,2,0,1.1597,0,0,0,0
"ENSG00000179165",0,21,1,24.8403,2,3,0,3
"ENSG00000112078",4482.6211,1566.9999,3415,1690,4123.9995,4823,4624.9995,6693.769
"ENSG00000240733",5,1,4,1,0,0,0,1
"ENSG00000112079",1759,1419,1475,1424,1298,1785,1187,1664
"ENSG00000239964",5,3,4,3,0,1,0,0
"ENSG00000112081",3193,2098,2841,1987,3643,2190.0002,3770,2260
"ENSG00000263894",0,0,0,0,0,0,0,0
"ENSG00000238554",0,0,0,0,0,0,1.0005,2.0006
"ENSG00000251864",0,0,0,0,0,0,0,0
"ENSG00000281450",0,1.595e-13,1.7231e-16,3.2128e-14,0,1.1319e-14,0,1.3836e-14
"ENSG00000213500",0,7.0098,1.0011,7.0094,0,4.0035,1.0003,5.0072
"ENSG00000124762",11598,14501.001,12535,13640,13609,10775,11455,14777
"ENSG00000285244",3,4,3,0,2,8,3,5
"ENSG00000255587",1,7,0,2,0,1,1,4
"ENSG00000220349",0,0,0,0,0,0,0,0
"ENSG00000124772",0,1,2,1,1,3,1,0
"ENSG00000285888",1,0,0,0,0,0,0,0
"ENSG00000137168",350,133,333,92,363,139,471,112
"ENSG00000198663",2255.0671,1351.1558,1682,1111,2546,1877,2210,2137
"ENSG00000232598",0,0,0,0,0,0,0,0
"ENSG00000164530",3,0,0,2,0,1,0,0
"ENSG00000137409",4659,4173,4159,4004.9998,5328,5382.9995,4951.0005,5737
"ENSG00000146192",2132.0002,9263,1409,7462,2136,813.0001,1301.9999,638
"ENSG00000226976",2,1,1,0,1,0,1,1
"ENSG00000216412",0,0,0,0,0,0,0,0
"ENSG00000137193",1307,1214,1055,677,1929,3987,1438,1795
"ENSG00000172738",69.4419,50.1809,36.0598,53.9342,89.602,55.2541,67.7437,31.4422
"ENSG00000286105",0,0,0,0,0,0,0,0
"ENSG00000065491",542.5581,763.8192,421.9402,682.0658,525.398,731.7459,459.2563,577.5578
"ENSG00000275550",0,0,0,1,0,0,0,0
"ENSG00000112130",314.0319,432,330,449.8232,386,456.588,374,605
"ENSG00000239953",0,6,1,1.1768,0,5.412,0,0
"ENSG00000137200",1358,7100.9995,1049.9999,7067,1488.9999,3183,1340.9999,4279
"ENSG00000198937",240,84,208,73,238,109,289,123
"ENSG00000204110",0,0,0,0,0,0,0,0
"ENSG00000229559",0,0,0,0,0,0,0,0
"ENSG00000227920",0,0,0,0,0,0,0,0
"ENSG00000263926",0,0,0,0,0,0,0,0
"ENSG00000279942",0,0,0,0,0,2,0,0
"ENSG00000112139",11,18,19,241,27,65,5,70
"ENSG00000225945",0,0,1,0,0,0,0,1
"ENSG00000156639",2108.9998,2929,1611,2707.9998,2114,4498,1880,5599
"ENSG00000243313",4,18,7,6,1,4,0,1
"ENSG00000200597",1,2,1,0,0,0,0,0
"ENSG00000218521",7,23,4,13,1,4,3,0
"ENSG00000183826",968,1040,840,941,1056,1106.9999,772,1029
"ENSG00000200706",0,0,0,0,0,0,0,0
"ENSG00000226533",2,7,2,5,1,1,0,0
"ENSG00000199938",0,0,0,0,0,0,0,0
"ENSG00000217227",10,8,6,13,0,2,3,0
"ENSG00000124767",1557,607,780,544,1413,839,1311,913
"ENSG00000236355",0,0,0,0,0,0,0,0
"ENSG00000124721",1,0,0,0,0,0,0,0
"ENSG00000244297",0,0,0,0,0,0,0,0
"ENSG00000219273",0,0,0,0,0,0,0,0
"ENSG00000212586",0,0,0,0,0,0,0,0
"ENSG00000231150",0,0,0,0,0,1,0,0
"ENSG00000220076",0,0,0,0,0,0,0,0
"ENSG00000220556",0,0,0,0,0,0,0,0
"ENSG00000112164",7,0,4,0,1,0,0,0
"ENSG00000112167",344,240,240,179,300,167,328,276
"ENSG00000217165",36,18,30,24,43,18,46,29
"ENSG00000164626",7,31,5,11,2,9,25,20
"ENSG00000124780",0,0,0,0,0,0,0,0
"ENSG00000095981",0,0,0,0,0,0,0,0
"ENSG00000164627",2,2,1,4,0,0,12,2
"ENSG00000218986",0,0,0,0,0,0,0,0
"ENSG00000231276",0,0,0,0,0,0,0,0
"ENSG00000252990",0,0,0,0,0,0,0,0
"ENSG00000146122",2,0,1,2,5,0,5,1
"ENSG00000281969",0,0,0,0,1,0,0,0
"ENSG00000235033",0,0,0,0,0,0,1,0
"ENSG00000124615",6,3,6,4,4,3,12,19
"ENSG00000220586",0,0,0,0,0,0,0,0
"ENSG00000180211",0,0,0,0,0,0,0,0
"ENSG00000227131",0,0,0,0,0,0,0,0
"ENSG00000204091",0,0,0,0,0,0,0,0
"ENSG00000204092",0,0,0,0,0,0,0,0
"ENSG00000226070",0,0,0,0,0,0,0,0
"ENSG00000156564",0,0,0,0,0,0,0,0
"ENSG00000252767",0,0,0,0,0,0,0,0
"ENSG00000236075",0,0,0,0,0,0,0,0
"ENSG00000226454",0,0,0,0,0,0,0,0
"ENSG00000237947",0,0,0,0,0,0,0,0
"ENSG00000124602",34.3449,32.0055,9,15.1902,18,12.8309,11.7942,3.303
"ENSG00000124596",356.6552,330.9944,273,359.8098,253,289.1691,301.2058,338.697
"ENSG00000112212",3,3,0,0,1,1,0,2
"ENSG00000124701",23,19,11,17,2,8,3,1
"ENSG00000001167",977,520,702,585,962,919,904,850
"ENSG00000161912",48,25,23,23,15,57,57,60
"ENSG00000161911",231,5,119,5,211,46,128,27
"ENSG00000095970",11290,783,7268.0005,457,15618.999,2069,14864,1814
"ENSG00000112195",4,4,6,8,7,107,0,45
"ENSG00000184106",0,1,0,12,3,29,1,19
"ENSG00000188056",0,1,2,55,6,98,1,31
"ENSG00000212176",0,0,0,0,0,0,0,0
"ENSG00000225690",0,1,0,0,0,0,0,0
"ENSG00000274256",0,0,0,1,0,0,0,0
"ENSG00000278745",0,0,0,0,0,1,0,0
"ENSG00000124731",57,291,52,406,38,1299,187,4100
"ENSG00000218809",0,0,0,0,0,3,0,3
"ENSG00000206745",0,0,0,0,0,0,0,0
"ENSG00000213461",0,0,0,0,0,0,0,0
"ENSG00000096264",0,0,0,0,0,0,0,0
"ENSG00000279284",0,0,0,0,0,0,0,0
"ENSG00000280371",0,0,0,0,0,0,0,0
"ENSG00000234753",2,0,0,1,0,1,0,0
"ENSG00000226917",0,0,0,0,0,0,0,0
"ENSG00000137166",477,300,608,411,298,512,493,840.0001
"ENSG00000266494",0,0,0,0,0,0,0,0
"ENSG00000112559",0,0,0,0,0,0,0,0
"ENSG00000230913",0,0,0,0,0,0,0,0
"ENSG00000112561",2434,1008,2182.0002,662,3268.9998,814,2710.0002,743.9999
"ENSG00000231102",11,3,10,2,5,0,3,0
"ENSG00000096088",1,1,1,3,0,2,0,3
"ENSG00000269387",0,0,0,0,0,0,0,0
"ENSG00000137218",91.0374,68,80,81,103,93,104,127
"ENSG00000124593",134.4572,106.8849,127.4433,136.3052,162.4773,234.0138,126.0312,227.9816
"ENSG00000278224",8.9775,9.9895,2.4352,11.403,8.4567,8.4705,9.3577,7.5412
"ENSG00000214736",1332.8534,819.1257,1018.1215,512.6445,1306.4307,849.0495,1326.6111,929.4772
"ENSG00000164663",334.7119,186,273,214.6473,247.6354,321.4662,142,143
"ENSG00000268745",0,0,0,0,0,0,0,0
"ENSG00000206977",0,1,0,0,0,0,0,0
"ENSG00000227516",0,0,0,3,0,0,0,0
"ENSG00000124641",277,125,198,155,193,195,218,231
"ENSG00000207371",0,0,0,0,0,0,0,0
"ENSG00000112578",264,101,262,74,512,75,470,66
"ENSG00000112576",3122.0002,1370,2954.9998,2264,4702.9995,2947.9995,2159,3454.9998
"ENSG00000206875",0,0,0,0,0,0,0,0
"ENSG00000223946",0,0,0,0,0,0,0,0
"ENSG00000137413",758.702,962,524,898.3308,691.4894,1010,689.6454,1232.0858
"ENSG00000261068",1,0,0,1,0,0,3,1
"ENSG00000188112",5,8,41,14,7,32,6,12
"ENSG00000048545",0,1,0,0,0,0,0,0
"ENSG00000214732",0,0,0,0,0,0,0,0
"ENSG00000112599",8.0256,8.0124,5,8.0265,14,7,6,8
"ENSG00000048544",690,380,636,374,873,542,903,685
"ENSG00000124496",2283,286,1276,145,1799,575,1302,375
"ENSG00000237107",0,0,0,0,0,0,0,0
"ENSG00000024048",2846,3028,2029,3023,2575,2714,2267,2425
"ENSG00000206848",0,0,0,0,0,0,0,0
"ENSG00000112619",10,37,8,42,7,4,2,5
"ENSG00000213435",0,0,0,0,0,0,0,0
"ENSG00000124659",515,707,349,549,464,505,445,672
"ENSG00000112624",841,844.9999,526,609,591,709,545.0001,843
"ENSG00000146223",2459.7871,1300.2822,2069.2607,1116.0721,2641.2061,1452.9994,2648.9355,1512.3064
"ENSG00000221821",57,71,48,60,50,28,44,57
"ENSG00000171611",151,7,110,1,186,35,109,24
"ENSG00000137161",3947,1701,2810,1609,4288,3982,3492,4255
"ENSG00000231113",20,6,5,7,10,14,11,4
"ENSG00000181524",0,2,0,1,1,0,0,0
"ENSG00000124713",4,2,0,2,2,3,3,1
"ENSG00000124587",811,385,603,311,581,475,1052,853
"ENSG00000112640",1235.7762,1012.9476,1150.8865,1133.3373,1480.5305,2556.5793,1221.1794,3462.4824
"ENSG00000124733",1214.2238,783.0524,1002.1136,681.6627,1298.4694,933.4207,1286.8207,1203.5175
"ENSG00000124702",2057,1121,1762,1066,1907,2059,1921,2251
"ENSG00000124541",636.7192,437.679,516,372.8221,700.6767,379.5286,603.8276,472
"ENSG00000272223",3.2808,4.3209,3,1.1779,4.3233,2.4714,1.1724,0
"ENSG00000240625",2,1,0,5,3,0,1,0
"ENSG00000044090",1623.7572,1072.6417,1488.8506,972.8528,2017.822,1853.969,1681.9758,1661.9456
"ENSG00000137171",394.2056,218.3583,289.1259,238.1472,385.178,486.0309,275.0242,464.0544
"ENSG00000112651",514,293,491,278,589,387,637,630
"ENSG00000272170",1.0372,0,1.0235,0,0,0,0,0
"ENSG00000112655",11,5,12,3,21,7,5,18
"ENSG00000112658",2337,1730,1731,1459,2473,2040,2424,2459
"ENSG00000112659",1554,1170,1226,944.9999,1549.0001,1199,1368,1177
"ENSG00000245261",0,0,0,0,0,0,0,4.8195e-27
"ENSG00000112667",1439,216,1423,274,2082,495,1798.9999,443
"ENSG00000146216",2,1,0,0,3,0,0,3
"ENSG00000137204",0,0,0,0,0,0,0,0
"ENSG00000146215",6,0,2,0,5,0,0,1
"ENSG00000171467",2033,720,1426,653,1819,1802,1578,1540
"ENSG00000219222",0,0,0,0,0,0,0,0
"ENSG00000220614",0,0,0,0,0,0,0,0
"ENSG00000179157",6,3,2,3,2,4,0,8
"ENSG00000226558",0,0,0,0,0,0,0,0
"ENSG00000124574",2237.9998,2023.9999,1811,1837,2712,2046,2012.0001,1662
"ENSG00000276770",0,0,0,0,0,0,0,0
"ENSG00000171462",26,28,17,22,22,14,11,11
"ENSG00000207076",0,0,0,0,0,0,0,0
"ENSG00000137221",720.9999,1011,592.0001,767,852.0001,925.9999,728,1138.0001
"ENSG00000204052",10,1,0,2,2,0,1,0
"ENSG00000171453",354.9067,121.1506,366.2683,115.1472,502.3314,133.2504,494.0148,124.0752
"ENSG00000137207",2309,1440,1698,1570.0001,2308,2661,1951,2602
"ENSG00000271754",2.3326,7.0422,2.1803,0,1.6855,0,0,0
"ENSG00000124571",1431.7607,1349.8071,1190.5514,1344.8528,1746.9832,1524.7496,1675.9852,1913.9248
"ENSG00000219470",15.0794,34.676,10.034,25,15.3299,2.0041,11.0365,4.0035
"ENSG00000252218",0,0,0,0,0,0,0,0
"ENSG00000170734",473,299,410,336,485,378.8984,464,350
"ENSG00000203362",9,2,3,4,8,6,3,4
"ENSG00000172432",1970.0001,6263.9995,1307.0001,6221.0005,1595,4282,1617,6003
"ENSG00000124688",434,551,413,528,489,440,415,537
"ENSG00000172426",31.6785,36.3583,23.2784,29.5326,28.8659,40.0491,13.7636,25.0493
"ENSG00000096080",460.3214,617.6418,422.7216,489.4674,518.1342,366.9509,508.2364,471.9507
"ENSG00000218107",0,0,0,0,0,0,0,0
"ENSG00000236961",0,0,0,0,0,0,0,0
"ENSG00000112715",492,2868,300,2921,218,8384.999,204,12136.001
"ENSG00000272114",0,0,0,0,0,0,0,0
"ENSG00000283573",0,0,0,0,0,0,0,0
"ENSG00000283215",0,0,0,0,0,0,0,0
"ENSG00000223469",0,0,0,0,0,0,0,0
"ENSG00000237686",0,1,0,1,0,5.3843,0,2.0194
"ENSG00000181577",2,124,2,47,10,830.9813,2,936.9807
"ENSG00000231881",2,3,0,1,0,5.6344,0,2
"ENSG00000183239",0,1,1,1,0,0,0,0
"ENSG00000180992",478,517,524,494,588,496,502,609
"ENSG00000137216",1688.0001,2866,1463,2749,2069,2839,1442.0001,2776.0002
"ENSG00000137225",48,4,59,3,47,2,15,3
"ENSG00000265439",0,0,0,0,0,0,0,0
"ENSG00000262179",1,0,0,0,0,0,0,0
"ENSG00000112759",875.0001,282,809,348,868.9999,945.0001,690.0001,541.0001
"ENSG00000096384",17120,11485.999,17506,10062.999,25170,11282,22854,11212
"ENSG00000157593",1192.0001,482,827.9999,553,1253,612,978,559
"ENSG00000284427",0,0,0,0,0,0,0,0
"ENSG00000146232",2082,6257,2068,6842,3178,6999,2049,8556
"ENSG00000178233",12.4439,10.7467,2.4868,19.2802,6.5686,9.1816,3.0476,11.9623
"ENSG00000272442",7.7575,3.302,8.1489,5.7198,4.5814,5.8671,0,2.1748
"ENSG00000146221",0,0,1,0,0,0,0,0
"ENSG00000124608",820.6613,896.9514,617.9321,1329,871.85,1875.9512,796.9524,1897.8629
"ENSG00000249481",5.5291e-05,0,1.4322,0,0,0,0,0
"ENSG00000096401",1630,1268,1419,1407,1896,2153,1731,2084
"ENSG00000266619",0,0,0,0,0,0,0,0
"ENSG00000237530",0,0,0,0,0,0,0,0
"ENSG00000279076",0,0,0,0,0,0,0,0
"ENSG00000196284",77,67,166,170,55,45,52,32
"ENSG00000270900",4,4,1,5,0,0,1,0
"ENSG00000276156",0,2,0,0,0,0,0,0
"ENSG00000277769",9,10,15,31,2,2,6,1
"ENSG00000219384",3,5,3,5,0,1,0,0
"ENSG00000207769",0,0,0,0,0,0,0,0
"ENSG00000124813",155,2584,128,1687,104,845,235,1861
"ENSG00000271857",1,118,2,70,5,27,2,41
"ENSG00000261080",1,35,0,8,0,0,2,4
"ENSG00000112782",0,8,1,12,2,1,0,1
"ENSG00000212468",0,0,0,0,0,0,0,0
"ENSG00000231769",0,1,1,0,0,0,0,0
"ENSG00000001561",571,957,395,1345,806,1359,721,713
"ENSG00000112796",0,2,0,1,1,1,0,0
"ENSG00000229349",0,0,0,0,0,0,0,0
"ENSG00000172348",0,9,4,26,0,3,0,15
"ENSG00000226541",0,0,0,0,0,0,0,0
"ENSG00000236466",0,0,0,0,0,0,0,0
"ENSG00000146233",0,1,0,1,0,0,1,2
"ENSG00000153291",32,69,24,68,19,11,9,9
"ENSG00000242973",3,10,0,7,5,2,2,2
"ENSG00000180113",3474.1924,1123,1459.0333,926.0229,2970,930.0221,2139,579.008
"ENSG00000146070",18717.8066,10980,9245.9668,8915.9766,18847,9365.9785,21372,16560.9922
"ENSG00000230062",11,16,3,23,8,4,15,5
"ENSG00000236164",0,1,0,0,0,0,1,0
"ENSG00000112818",140,208,98,159,54,74,199,293
"ENSG00000069122",3,6,4,6,0,1,1,3
"ENSG00000225730",0,0,0,0,0,0,0,0
"ENSG00000153292",0,0,1,2,1,0,0,0
"ENSG00000146072",8330,398,4622,429,8719,1627,8677,2066
"ENSG00000271328",0,0,0,0,0,0,0,0
"ENSG00000270761",1,0,0,1,0,0,1,3
"ENSG00000198087",1090.9999,1642,1071,2109,1167,1614,1106.0001,1089
"ENSG00000199762",0,0,0,0,0,0,0,0
"ENSG00000216813",3,0,3,10,3,3,0,0
"ENSG00000164393",1,1,0,0,1,0,0,0
"ENSG00000153294",1,4,2,1,5,0,0,0
"ENSG00000252711",0,0,0,0,0,0,0,0
"ENSG00000226594",0,0,0,0,0,0,0,0
"ENSG00000216616",0,0,0,0,0,0,0,0
"ENSG00000124818",0,0,0,0,0,0,0,0
"ENSG00000200340",0,0,0,0,0,0,0,0
"ENSG00000244694",2.4174,148.7112,5.106,9.8215,1.2212,5.0809,1.2324,99.2404
"ENSG00000226068",0,0,0,0,0,0,0,0
"ENSG00000216835",0,0,0,0,0,0,0,0
"ENSG00000278736",0,0,0,0,0,0,0,0
"ENSG00000271162",0,0,0,0,0,0,0,0
"ENSG00000218337",0,0,0,0,0,0,0,0
"ENSG00000274867",0,0,0,0,0,0,0,0
"ENSG00000217631",0,0,0,0,0,0,0,0
"ENSG00000252457",0,0,0,0,0,0,0,0
"ENSG00000277043",0,0,0,0,0,0,0,0
"ENSG00000146085",1005,429,693,462,1279,1000,1232,1125
"ENSG00000031691",59,33,74,51,76,81,52,59
"ENSG00000203972",0,0,0,0,0,0,0,0
"ENSG00000197261",0,0,0,0,0,2.0191,0,0
"ENSG00000216998",0,0,0,0,0,0,0,0
"ENSG00000112077",0,0,0,0,0,0,0,0
"ENSG00000124490",0,0,0,0,0,0,0,0
"ENSG00000279127",0,0,0,0,0,0,0,0
"ENSG00000096006",0,0,1,0,0,0,0,0
"ENSG00000170950",0,0,0,0,0,0,0,0
"ENSG00000235122",0,0,0,0,0,0,0,0
"ENSG00000226707",0,0,0,0,0,0,0,0
"ENSG00000124812",0,0,0,0,0,0,0,0
"ENSG00000214643",0,0,0,0,0,0,0,0
"ENSG00000177684",0,0,0,0,0,0,0,0
"ENSG00000214642",0,0,0,0,0,0,0,0
"ENSG00000203970",0,0,0,0,0,0,0,0
"ENSG00000180872",0,0,0,0,0,0,0,0
"ENSG00000226733",0,0,0,0,0,0,0,0
"ENSG00000233470",0,0,0,0,0,0,0,0
"ENSG00000230472",0,0,0,0,0,0,0,0
"ENSG00000008197",0,0,0,0,0,0,0,0
"ENSG00000008196",0,0,0,0,0,0,0,0
"ENSG00000060303",0,0,0,0,0,0,0,0
"ENSG00000216913",0,0,0,0,0,0,0,0
"ENSG00000230204",0,2,0,1,0,3,1,0
"ENSG00000270306",0,0,0,0,0,0,0,0
"ENSG00000232702",0,0,0,0,0,0,0,0
"ENSG00000212532",0,0,0,0,0,0,0,0
"ENSG00000214641",0,0,0,0,0,0,0,0
"ENSG00000228689",0,0,0,0,0,0,0,0
"ENSG00000170927",0,0,0,0,0,0,3,0
"ENSG00000240641",0,0,0,0,0,0,0,0
"ENSG00000207604",0,0,0,0,0,0,0,0
"ENSG00000225613",0,0,0,1,0,0,0,0
"ENSG00000199080",0,0,0,0,0,0,0,0
"ENSG00000112115",0,0,0,0,0,0,0,1
"ENSG00000112116",0,0,1,0,0,0,0,0
"ENSG00000218363",1,0,0,0,0,0,0,0
"ENSG00000112118",1022,559,1106,473,1527,290,1294,354
"ENSG00000170915",1195,210,723,431,1259,103,996,81
"ENSG00000096093",175,44.0109,91.0266,70,81.0513,90.0139,82.0214,49
"ENSG00000065308",1089,304.9891,1136.9734,471,1365.9487,544.9861,1045.9786,626
"ENSG00000225791",46,26,62,36,53,62,60,54
"ENSG00000270382",0,0,0,0,0,0,0,0
"ENSG00000216775",11,62,20,95,5,79,1,87
"ENSG00000096092",58,24,117,49,61,18,38,36
"ENSG00000220377",0,0,0,1,0,0,0,0
"ENSG00000271227",0,0,0,0,0,0,0,0
"ENSG00000237674",0,0,0,0,0,0,0,0
"ENSG00000244067",0,0,0,0,0,0,0,0
"ENSG00000217228",0,0,0,0,0,0,0,0
"ENSG00000243955",0,0,0,0,0,0,0,0
"ENSG00000223622",0,0,0,0,0,0,0,0
"ENSG00000182793",0,0,0,0,0,0,0,0
"ENSG00000230375",0,0,0,0,0,0,0,0
"ENSG00000230845",0,0,0,0,0,0,0,0
"ENSG00000174156",0,0,0,0,0,0,0,0
"ENSG00000243236",0,0,0,0,0,0,0,0
"ENSG00000170899",7,9,11,4,9,3,20,4
"ENSG00000202198",11107.5283,7842.1992,4879.2974,6123.5474,10056.6689,6898.0083,6211.3218,12878.083
"ENSG00000283293",424528.4688,358586.7813,261958.6875,251451.4531,353915.3125,313795,302468.6875,380448.9063
"ENSG00000112144",362,341,279,415,223,283,249,362
"ENSG00000112146",772,631,604.5556,759,778,780.0001,675.9999,881.9999
"ENSG00000242865",0,7.2683e-09,1.4444,0,0,0,0,0
"ENSG00000261745",0,0,0,0,0,0,0,0
"ENSG00000137270",0,0,0,0,0,0,0,0
"ENSG00000253026",0,0,0,0,0,0,0,0
"ENSG00000219074",0,0,0,0,0,0,0,0
"ENSG00000218713",0,1,1,0,0,1,0,0
"ENSG00000206908",0,0,0,0,0,0,0,0
"ENSG00000219163",0,0,1,0,0,0,0,0
"ENSG00000012660",1776,1904,2232,1415,3968,2103,2775,1869.0001
"ENSG00000264056",0,0,0,0,0,0,0,0
"ENSG00000217527",10,12,10,15,14,3,2,1
"ENSG00000271367",0,0,0,0,2,0,0,0
"ENSG00000219863",0,0,0,0,0,0,0,0
"ENSG00000218049",0,0,0,0,0,0,0,0
"ENSG00000218261",0,0,0,0,0,0,0,0
"ENSG00000271338",0,0,0,0,0,0,0,0
"ENSG00000253010",0,0,0,0,0,0,0,0
"ENSG00000271373",0,0,0,0,0,0,0,0
"ENSG00000001084",24457.4199,1200,14615,1228,17831,1438,13505.999,1521.0001
"ENSG00000249379",50,5,29,9,10,1,3,0
"ENSG00000231683",3.5798,4.9937e-23,7,1,0,0,1,0
"ENSG00000235899",1,0,3,0,1,0,4,0
"ENSG00000124743",14,0,7,0,9,1,12,1
"ENSG00000227885",0,0,0,0,2,0,0,0
"ENSG00000137269",8,38,2,53,6,31,14,38
"ENSG00000271218",0,0,0,0,0,0,1,0
"ENSG00000146147",0,0,0,0.1609,0,0,0,0
"ENSG00000236740",0,0,0,0.8391,1,0,0,0
"ENSG00000235050",1,0,0,0,0,0,0,1
"ENSG00000236996",0,0,0,0,0,0,0,0
"ENSG00000218143",0,0,0,0,0,0,0,0
"ENSG00000137251",0,0,0,0,0,0,0,0
"ENSG00000228231",0,0,0,0,0,0,0,0
"ENSG00000213335",0,0,0,0,0,0,0,0
"ENSG00000216347",1,0,0,0,0,0,0,0
"ENSG00000220773",0,0,0,0,0,0,0,0
"ENSG00000220635",0,0,0,0,0,0,0,0
"ENSG00000251946",0,0,0,0,0,0,0,0
"ENSG00000224984",0,0,0,0,0,0,0,0
"ENSG00000168143",1,1,0,0,3,0,1,2
"ENSG00000261116",0,0,1,0,0,0,0,0
"ENSG00000137252",1,0,2,0,0,2,0,0
"ENSG00000187871",0,0,0,0,0,0,0,0
"ENSG00000146151",0,0,0,0,0,0,0,0
"ENSG00000220725",0,0,0,0,0,0,0,0
"ENSG00000112175",0,0,0,0,0,0,0,0
"ENSG00000214604",0,0,0,0,0,0,0,0
"ENSG00000124749",1,2,0,0,0,2,1,0
"ENSG00000219095",0,0,0,0,0,0,0,0
"ENSG00000227602",0,0,0,0,0,0,0,0
"ENSG00000220666",0,0,4,0,0,0,0,0
"ENSG00000151914",5221,1758,4658,2163.0002,6252.001,4778.0005,4088.9995,784
"ENSG00000231441",0,0,0,1,0,0,0,0
"ENSG00000216854",0,0,0,0,0,0,0,0
"ENSG00000200224",0,0,0,0,0,0,0,0
"ENSG00000151917",2,3,1,1,2,10,0,6
"ENSG00000219790",0,0,0,0,0,0,0,0
"ENSG00000218980",0,0,0,0,0,0,1,0
"ENSG00000276576",0,0,0,0,0,0,0,0
"ENSG00000168116",132.5096,64.8148,113.735,127.6507,254.5348,137.6245,178.5926,110.8798
"ENSG00000112200",1699.4902,1087.3234,1345.2649,1134.3495,1483.4653,1203.3756,1451.4075,762.9501
"ENSG00000226803",23,17,17,18,24,24,11,9.17
"ENSG00000112208",124.8808,50.7784,136.1732,54.5413,190.0054,42.3547,176.4286,50.4799
"ENSG00000112210",296.1499,114.2216,287.8268,80.496,276.9946,108.6453,368.5714,159.5201
"ENSG00000146143",330,222,251,223,274,267,175,180
"ENSG00000212017",0,0,0,0,0,0,0,0
"ENSG00000266579",0,0,0,0,0,0,0,0
"ENSG00000272541",0,0,0,1,0,0,1,0
"ENSG00000271761",0,0,0,0,1,0,0,0
"ENSG00000272316",108,49,79,68,45,43,44,8
